RU Country	ENG Country
США	United States
Великобритания	Great Britain
Украина	Ukraine
США, Великобритания	United States
Испания	Spain
Италия	Italy
Япония	Japan
Германия	Germany
Нидерланды	Netherlands
Франция	France
Венгрия	Hungary
Польша	Poland
Норвегия	Norway
Сингапур	Singapore
Швейцария	Switzerland
Малайзия	Malaysia
Швеция	Sweden
Австралия	Australia
Ирландия	Ireland
Кипр	Cyprus
Россия	Russian Federation
Южная Корея	The Republic of Korea
Тайвань	Republic of China
Канада	Canada
Дания	Danmark
Финляндия	Finland
Эстония	Estonia
Люксембург	Luxembourg
Каймановы острова	Cayman Islands
Латвия	Latvia
Мальта	Malta
Чехия	Czech Republic
Worldwide	-
Литва	Lithuania
Болгария	Bulgaria
Корея	The Republic of Korea
Ангилья	Anguilla
Новая Зеландия	New Zealand
Словакия	Slovakia
Европейский союз	European Union
Израиль	Israel
Индия	India
Китай	China
Гонконг	Hong Kong Special Administrative Region of the People's Republic of China
Беларусь	Belarus 
Молдова	Moldova
Швеция, Швейцария	Sweden