NE,EE,WE,SE,NAf,EAf,WAf,SAf,CAf,AO,NAs,EAs,WAs,SAs,CAs,SEAs,NAm,SAm,CAm,C
Channel Islands,Belarus,Austria,Albania,Algeria,Burundi,Benin,Botswana,Angola,Australia,Russian Federation,China,Azerbaijan,Afghanistan,Kazakhstan,Brunei,Canada,Argentina,Belize,Cuba
Guernsey,Bulgaria,Belgium,Andorra,Egypt,Djibouti,Burkina Faso,Zambia,Gabon,New Zealand,,Hong Kong Special Administrative Region of the People's Republic of China,Afghanistan,Bangladesh,Kyrgyzstan,Cambodia,Mexico,Bolivia,Guatemala,Dominican Republic
﻿﻿Jersey,Hungary,Great Britain,Bosnia,Libya,Zimbabwe,Gambia,Comoros,Democratic Republic of the Congo,Melanesia,,Macau Special Administrative Region of the People's Republic of China,Armenia,Butane,Uzbekistan,East Timor,USA,Brazil,Honduras,Haiti
Sark,Moldova,Germany,Herzegovina,Morocco,Kenya,Ghana,Lesotho,Republic of the Congo,Micronesia,,Mongolia,Bahrain,India,Turkmenistan,Indonesia,,Venezuela,Costa Rica,Jamaica
﻿﻿Isle of Man,Poland,Ireland,Vatican,Sudan,Mauritius,Guinea,Namibia,Rwanda,Polynesia,,Japan,Georgia,Maldives,Tajikistan,Laos,,Guyana,Nicaragua,Bahamas
Denmark,Russia,Liechtenstein,Greece,,Madagascar,Guinea-Bissau,Republic of South Africa,Sao Tome,,,DPRK,Egypt,Nepal,,Malaysia,,Colombia,Panama,Saint Kitts and Nevis
Faroe islands,Romania,Luxembourg,Spain,,Mayotte,Cape Verde,Eswatini,Central African Republic,,,The Republic of Korea,Israel,Pakistan,,Myanmar,,Paraguay,Salvador,Antigua and Barbuda
Ireland,Slovakia,Monaco,Italy,,Malawi,Cameroon,,Chad,,,Republic of China,Jordan,Sri Lanka,,Philippines,,Peru,,Dominica
Iceland,Ukraine,Netherlands,Cyprus,,Mozambique,Ivory Coast,,Equatorial Guinea,,,,Iraq,,,Singapore,,Suriname,,Saint Lucia
Latvia,Czech Republic,France,Malta,,reunion,Liberia,,,,,,Iran,,,Thailand,,Uruguay,,Saint Vincent and the Grenadines
Lithuania,,Switzerland,Portugal,,Rwanda,Mauritania,,,,,,Yemen,,,Vietnam,,Chile,,Grenada
Norway,,,San Marino,,Seychelles,Mali,,,,,,Qatar,,,,,Ecuador,,Barbados
Svalbard,,,North Macedonia,,Somalia,Niger,,,,,,Cyprus,,,,,,,Trinidad and Tobago
Finland,,,Serbia,,Tanzania,Nigeria,,,,,,Kuwait,,,,,,,Vienna
Aland Islands,,,Slovenia,,Uganda,Senegal,,,,,,Lebanon,,,,,,,
Sweden,,,Croatia,,Eritrea,Sierra Leone,,,,,,UAE,,,,,,,
Estonia,,,Montenegro,,Ethiopia,Togo,,,,,,Oman,,,,,,,
,,,Monaco,,South Sudan,,,,,,,Saudi Arabia,,,,,,,
,,,France,,,,,,,,,Syria,,,,,,,
,,,,,,,,,,,,Türkiye,,,,,,,
,,,,,,,,,,,,Abkhazia,,,,,,,
,,,,,,,,,,,,Northern Cyprus,,,,,,,
,,,,,,,,,,,,South Ossetia,,,,,,,
,,,,,,,,,,,,State of Palestine,,,,,,,
,,,,,,,,,,,,NKR,,,,,,,