Country,Region
Abkhazia,WAs
Afghanistan,WAs
Afghanistan,SAs
Aland Islands,NE
Albania,SE
Algeria,NAf
Andorra,SE
Angola,CAf
Antigua and Barbuda,C
Argentina,SAm
Armenia,WAs
Australia,AO
Austria,WE
Azerbaijan,WAs
Bahamas,C
Bahrain,WAs
Bangladesh,SAs
Barbados,C
Belarus,EE
Belgium,WE
Belize,CAm
Benin,WAf
Bolivia,SAm
Bosnia,SE
Botswana,SAf
Brazil,SAm
Brunei,SEAs
Bulgaria,EE
Burkina Faso,WAf
Burundi,EAf
Butane,SAs
Cambodia,SEAs
Cameroon,WAf
Canada,NAm
Cape Verde,WAf
Central African Republic,CAf
Chad,CAf
Channel Islands,NE
Chile,SAm
China,EAs
Colombia,SAm
Comoros,SAf
Costa Rica,CAm
Croatia,SE
Cuba,C
Cyprus,SE
Cyprus,WAs
Czech Republic,EE
Democratic Republic of the Congo,CAf
Denmark,NE
Djibouti,EAf
Dominica,C
Dominican Republic,C
DPRK,EAs
East Timor,SEAs
Ecuador,SAm
Egypt,NAf
Egypt,WAs
Equatorial Guinea,CAf
Eritrea,EAf
Estonia,NE
Eswatini,SAf
Ethiopia,EAf
Faroe islands,NE
Finland,NE
France,WE
France,SE
Gabon,CAf
Gambia,WAf
Georgia,WAs
Germany,WE
Ghana,WAf
Great Britain,WE
Greece,SE
Grenada,C
Guatemala,CAm
Guernsey,NE
Guinea,WAf
Guinea-Bissau,WAf
Guyana,SAm
Haiti,C
Herzegovina,SE
Honduras,CAm
Hong Kong Special Administrative Region of the People's Republic of China,EAs
Hungary,EE
Iceland,NE
India,SAs
Indonesia,SEAs
Iran,WAs
Iraq,WAs
Ireland,NE
Ireland,WE
﻿﻿Isle of Man,NE
Israel,WAs
Italy,SE
Ivory Coast,WAf
Jamaica,C
Japan,EAs
﻿﻿Jersey,NE
Jordan,WAs
Kazakhstan,CAs
Kenya,EAf
Kuwait,WAs
Kyrgyzstan,CAs
Laos,SEAs
Latvia,NE
Lebanon,WAs
Lesotho,SAf
Liberia,WAf
Libya,NAf
Liechtenstein,WE
Lithuania,NE
Luxembourg,WE
Macau Special Administrative Region of the People's Republic of China,EAs
Madagascar,EAf
Malawi,EAf
Malaysia,SEAs
Maldives,SAs
Mali,WAf
Malta,SE
Mauritania,WAf
Mauritius,EAf
Mayotte,EAf
Melanesia,AO
Mexico,NAm
Micronesia,AO
Moldova,EE
Monaco,WE
Monaco,SE
Mongolia,EAs
Montenegro,SE
Morocco,NAf
Mozambique,EAf
Myanmar,SEAs
Namibia,SAf
Nepal,SAs
Netherlands,WE
New Zealand,AO
Nicaragua,CAm
Niger,WAf
Nigeria,WAf
NKR,WAs
North Macedonia,SE
Northern Cyprus,WAs
Norway,NE
Oman,WAs
Pakistan,SAs
Panama,CAm
Paraguay,SAm
Peru,SAm
Philippines,SEAs
Poland,EE
Polynesia,AO
Portugal,SE
Qatar,WAs
Republic of China,EAs
Republic of South Africa,SAf
Republic of the Congo,CAf
reunion,EAf
Romania,EE
Russia,EE
Russian Federation,NAs
Rwanda,EAf
Rwanda,CAf
Saint Kitts and Nevis,C
Saint Lucia,C
Saint Vincent and the Grenadines,C
Salvador,CAm
San Marino,SE
Sao Tome,CAf
Sark,NE
Saudi Arabia,WAs
Senegal,WAf
Serbia,SE
Seychelles,EAf
Sierra Leone,WAf
Singapore,SEAs
Slovakia,EE
Slovenia,SE
Somalia,EAf
South Ossetia,WAs
South Sudan,EAf
Spain,SE
Sri Lanka,SAs
State of Palestine,WAs
Sudan,NAf
Suriname,SAm
Svalbard,NE
Sweden,NE
Switzerland,WE
Syria,WAs
Tajikistan,CAs
Tanzania,EAf
Thailand,SEAs
The Republic of Korea,EAs
Togo,WAf
Trinidad and Tobago,C
Türkiye,WAs
Turkmenistan,CAs
United Arab Emirates,WAs
Uganda,EAf
Ukraine,EE
Uruguay,SAm
United States,NAm
Uzbekistan,CAs
Vatican,SE
Venezuela,SAm
Vienna,C
Vietnam,SEAs
Yemen,WAs
Zambia,SAf
Zimbabwe,EAf